id,value
Afganistán,62.7
Angola,55.5
Argentina,16.7
Armenia,14.4
Burundi,57.9
Benin,61.5
Bangladesh,55.1
Belice,10.8
Bolivia,43.5
Brasil,22.3
Rep. Centroafricana,93.3
China,25.2
Camerun,37.8
Congo,74.8
Colombia,13.2
Costa Rica,5.5
Rep. Dominicana,12.1
Ecuador,36
Egipto,10.6
Etiopia,73.9
Ghana,37.9
Guinea,43.3
Gambia,34.8
Guatemala,34.4
Guyana,33.1
Honduras,27.5
Haiti,74.4
Indonesia,21.8
India,24
Iraq,47.2
Jordania,12.9
Kenya,56
Camboya,55.5
LAO,31.4
Liberia,65.7
Lesotho,50.8
Marruecos,13.1
Madagascar,77.2
Mexico,11.1
Mali,56.3
Mongolia,42.7
Mozambique,80.3
Mauritania,79.9
Malawi,66.7
Namibia,33.2
Niger,70.1
Nigeria,50.2
Nepal,54.3
Pakistan,45.5
Panama,25.8
Peru,34.2
Filipinas,38.4
Rwanda,53.2
Sudan,91.6
Senegal,39.4
Sierra Leona,75.6
Somalia,73.6
Sudan del sur,95.6
Santo Tomé y Principe,86.6
Suriname,7.3
Swazilandia,32.7
Siria,19.3
Chad,88.2
Togo,51.2
Tailandia,25
Túnez,8
Turquia,11.9
Tanzania,50.7
Uganda,53.6
Vietnam,27.2
Yemen,60.8
Sudafrica,23
Zambia,54
Zimbabwe,25.1
